Names,Totals
Khadija,1318563
Xena,1318734
Anita,1318904
Havana,1319074
Imogen,1319244
Jubilee,1319414
Khalani,1319584
Birdie,1319753
Cindy,1319922
Kalia,1320091
Karis,1320260
Alex,1320428
Bryn,1320596
Ziva,1320764
Amiah,1320931
Amyra,1321098
Artemis,1321265
Dania,1321432
Indigo,1321599
Jamila,1321766
Macey,1321933
Maisy,1322100
Naila,1322267
Sia,1322434
Vida,1322601
Yuliana,1322768
Amethyst,1322934
Ashtyn,1323100
Eliyanah,1323266
Kamilla,1323432
Nyra,1323598
Zyla,1323764
Danika,1323929
Emberlee,1324094
Pyper,1324259
Rhyan,1324424
Roslyn,1324589
Ruthie,1324754
Zella,1324919
Caitlin,1325083
Irie,1325247
Jocelynn,1325411
Kelsie,1325575
Shay,1325739
Tyler,1325903
Yazmin,1326067
Aarna,1326230
Abbigail,1326393
Ameera,1326556
Daenerys,1326719
Emani,1326882
Emeri,1327045
Lincoln,1327208
Londynn,1327371
Lucie,1327534
Margaux,1327697
Martina,1327860
Rihanna,1328023
Temperance,1328186
Althea,1328348
Journie,1328510
Marin,1328672
Marlene,1328834
Rubi,1328996
Ashanti,1329157
Carleigh,1329318
Christiana,1329479
Elisha,1329640
Sanaa,1329801
Belinda,1329961
Chiara,1330121
Laken,1330281
Nori,1330441
Silvia,1330601
Tania,1330761
Arie,1330920
Delia,1331079
Dina,1331238
Elinor,1331397
Emberlyn,1331556
Emrie,1331715
Grecia,1331874
Krystal,1332033
Regan,1332192
Theodora,1332351
Zadie,1332510
Zaya,1332669
Emi,1332827
Sofie,1332985
Vivianne,1333143
Delanie,1333300
Janet,1333457
Roselynn,1333614
Carmella,1333770
Elowen,1333926
Korra,1334082
Marigold,1334238
Alessa,1334393
Aubrianna,1334548
Dawsyn,1334703
Geneva,1334858
Soleil,1335013
Tia,1335168
Zaina,1335323
Eisley,1335477
Emry,1335631
Essence,1335785
Inaya,1335939
Kaira,1336093
Linnea,1336247
Susanna,1336401
Colbie,1336554
Janice,1336707
Natalya,1336860
Sailor,1337013
Brinlee,1337165
Gracyn,1337317
Kyrie,1337469
Winifred,1337621
Yasmine,1337773
America,1337924
Brynnlee,1338075
Carley,1338226
Coral,1338377
Gentry,1338528
Guinevere,1338679
Joey,1338830
Kailynn,1338981
Kaleah,1339132
Kayden,1339283
Adalie,1339433
Adalina,1339583
Addelyn,1339733
Adilyn,1339883
Akshara,1340033
Annabeth,1340183
Ayesha,1340333
Ela,1340483
Kamiya,1340633
Laikyn,1340783
Maelynn,1340933
Merritt,1341083
Reya,1341233
Shirley,1341383
Yuna,1341533
Zahara,1341683
Kahlani,1341832
Lillyanna,1341981
Aislynn,1342129
Ananya,1342277
Billie,1342425
Elowyn,1342573
Jacquelyn,1342721
Jaleah,1342869
Nadine,1343017
Raleigh,1343165
Rhiannon,1343313
Shannon,1343461
Tamia,1343609
Dalila,1343756
Evangelina,1343903
Harlie,1344050
Ira,1344197
Kalina,1344344
Laylani,1344491
Maple,1344638
Noella,1344785
Reece,1344932
Renesmee,1345079
Damaris,1345225
Deanna,1345371
Jazmyn,1345517
Khalia,1345663
Marlie,1345809
Murphy,1345955
Preslee,1346101
Sherlyn,1346247
Blayke,1346392
Jaclyn,1346537
Larissa,1346682
Mayra,1346827
Memphis,1346972
Rosalynn,1347117
Taryn,1347262
Taya,1347407
Beatriz,1347551
Gitty,1347695
Isabell,1347839
Jude,1347983
Sahana,1348127
Zinnia,1348271
Anayah,1348414
Bentley,1348557
Cielo,1348700
Giada,1348843
Katrina,1348986
Love,1349129
Lucero,1349272
Saniya,1349415
Ailyn,1349557
Cambrie,1349699
Jersey,1349841
Kaci,1349983
Kalea,1350125
Kiley,1350267
Letty,1350409
Petra,1350551
Shania,1350693
Amariah,1350834
Bryanna,1350975
Cecily,1351116
Elouise,1351257
Judy,1351398
Kacey,1351539
Kaidence,1351680
Kinlee,1351821
Kya,1351962
Maite,1352103
Nahla,1352244
Naima,1352385
Aleigha,1352525
Annistyn,1352665
Asiya,1352805
Atarah,1352945
Azeneth,1353085
Estefania,1353225
Mariela,1353365
Milania,1353505
Zia,1353645
Aadya,1353784
Dayanna,1353923
Goldie,1354062
Jaylen,1354201
Kenzley,1354340
Malak,1354479
Rosalia,1354618
Sana,1354757
Anyla,1354895
Aryah,1355033
Jolee,1355171
Lillyana,1355309
Sanai,1355447
Zhuri,1355585
Arizona,1355722
Dariana,1355859
Devorah,1355996
Donna,1356133
Jazelle,1356270
Kari,1356407
Lorraine,1356544
Samiya,1356681
Julietta,1356817
Kayleen,1356953
Lela,1357089
Lori,1357225
Maura,1357361
Mazie,1357497
Salome,1357633
Baila,1357768
Claira,1357903
Elana,1358038
Keila,1358173
Kinsey,1358308
Pamela,1358443
Rori,1358578
Yaretzy,1358713
Aanya,1358847
Analise,1358981
Annaliese,1359115
Ariela,1359249
Haidyn,1359383
Hartley,1359517
Isha,1359651
Katarina,1359785
Kenzlee,1359919
Khadijah,1360053
Laniyah,1360187
Rain,1360321
Sol,1360455
